direction	spBLEU	chrF++	len_ratio
kas_Deva-tso_Latn	12.41	36.83	1.081
azj_Latn-ind_Latn	25.62	51.69	1.015
slv_Latn-slk_Latn	32.50	50.41	0.959
sna_Latn-oci_Latn	19.96	38.37	0.898
san_Deva-knc_Latn	3.29	21.45	1.086
ast_Latn-run_Latn	17.85	39.47	0.970
bel_Cyrl-pag_Latn	12.27	38.73	1.103
tha_Thai-kin_Latn	18.45	42.23	1.002
ibo_Latn-mya_Mymr	11.02	24.77	0.783
knc_Arab-pan_Guru	3.67	11.90	0.980
hat_Latn-amh_Ethi	21.87	29.14	1.001
swe_Latn-uig_Arab	15.63	30.04	0.953
kon_Latn-bug_Latn	5.72	26.59	0.947
vec_Latn-tat_Cyrl	28.13	45.36	0.988
dzo_Tibt-zsm_Latn	14.67	39.86	0.939
azb_Arab-cjk_Latn	1.69	20.64	1.005
lua_Latn-crh_Latn	11.10	29.32	0.941
kac_Latn-mar_Deva	11.62	27.84	0.939
min_Latn-lao_Laoo	24.48	40.44	0.945
ayr_Latn-tat_Cyrl	10.15	24.88	0.940
kor_Hang-jpn_Jpan	16.50	23.11	0.923
tum_Latn-asm_Beng	11.51	23.50	0.964
deu_Latn-ajp_Arab	26.49	42.42	0.983
srp_Cyrl-glg_Latn	33.63	54.87	0.962
sot_Latn-srp_Cyrl	27.08	45.55	0.962
prs_Arab-mar_Deva	21.80	40.39	0.950
arz_Arab-run_Latn	15.05	38.31	1.043
xho_Latn-yor_Latn	6.94	22.20	1.111
tgl_Latn-sun_Latn	16.71	40.90	1.043
aka_Latn-pap_Latn	17.15	36.87	0.946
ell_Grek-quy_Latn	4.46	26.65	1.044
lus_Latn-sin_Sinh	17.61	26.44	0.827
fuv_Latn-hrv_Latn	9.28	27.69	1.023
kan_Knda-ace_Latn	8.04	32.00	0.911
luo_Latn-lij_Latn	14.35	29.86	0.971
sna_Latn-nya_Latn	12.03	37.47	1.003
eus_Latn-prs_Arab	21.06	41.41	1.010
bjn_Latn-ars_Arab	16.43	29.26	0.938
kir_Cyrl-mni_Beng	17.17	28.95	0.916
hrv_Latn-cat_Latn	35.62	54.71	0.973
mri_Latn-ltz_Latn	18.45	38.19	0.994
bem_Latn-bak_Cyrl	17.31	35.19	1.017
kir_Cyrl-scn_Latn	12.74	34.63	0.945
wol_Latn-mag_Deva	14.03	28.85	0.983
bug_Latn-war_Latn	15.46	39.43	0.960
taq_Tfng-asm_Beng	5.29	16.33	1.076
fuv_Latn-pbt_Arab	6.53	21.52	1.139
war_Latn-knc_Arab	5.95	8.39	1.031
grn_Latn-ace_Latn	7.04	28.96	1.004
swh_Latn-azj_Latn	20.30	39.00	0.928
ckb_Arab-ajp_Arab	20.62	37.31	0.959
por_Latn-ars_Arab	26.60	41.64	0.887
acq_Arab-slv_Latn	28.48	48.79	0.998
als_Latn-smo_Latn	22.28	46.30	0.971
hau_Latn-vie_Latn	29.58	47.18	0.960
kon_Latn-gle_Latn	17.63	36.45	0.959
mai_Deva-ary_Arab	17.32	33.77	0.962
kor_Hang-bel_Cyrl	20.39	35.79	0.885
crh_Latn-xho_Latn	17.86	42.10	1.044
acq_Arab-fra_Latn	38.32	57.30	1.005
kas_Deva-ell_Grek	19.64	34.73	0.958
ban_Latn-quy_Latn	5.34	27.85	1.023
als_Latn-mlt_Latn	33.75	52.99	0.988
vie_Latn-ron_Latn	32.56	51.08	0.978
nno_Latn-san_Deva	5.95	23.18	0.996
yor_Latn-mar_Deva	14.18	30.86	0.899
lim_Latn-bel_Cyrl	21.80	37.13	0.881
ewe_Latn-fon_Latn	4.85	19.20	0.953
bak_Cyrl-kas_Deva	3.06	14.48	0.794
tat_Cyrl-cym_Latn	31.69	48.91	0.970
vie_Latn-kmr_Latn	15.50	34.92	0.993
aeb_Arab-lus_Latn	10.38	34.51	1.049
tam_Taml-mar_Deva	21.95	39.62	0.947
eng_Latn-amh_Ethi	31.16	39.56	1.025
cjk_Latn-knc_Arab	5.26	7.95	0.942
ydd_Hebr-ces_Latn	30.14	47.40	0.962
aeb_Arab-hat_Latn	20.09	43.22	1.015
ces_Latn-kat_Geor	31.21	45.92	0.950
bho_Deva-guj_Gujr	27.47	43.37	0.982
gaz_Latn-vie_Latn	24.45	42.67	0.933
mri_Latn-lmo_Latn	6.73	27.24	0.908
hye_Armn-crh_Latn	22.30	42.83	1.018
luo_Latn-rus_Cyrl	17.70	33.94	0.945
mar_Deva-kin_Latn	19.24	43.07	0.966
taq_Tfng-plt_Latn	5.08	26.54	1.176
hrv_Latn-dzo_Tibt	10.61	31.96	0.953
tel_Telu-san_Deva	7.54	25.07	0.979
lit_Latn-est_Latn	26.78	48.00	0.977
luo_Latn-vec_Latn	11.98	32.00	0.933
arb_Arab-mar_Deva	22.19	40.30	0.952
hin_Deva-ceb_Latn	25.39	50.46	0.973
taq_Latn-tzm_Tfng	10.05	21.89	0.986
apc_Arab-sin_Sinh	28.21	36.83	0.912
jav_Latn-bak_Cyrl	23.97	41.75	0.985
mag_Deva-tgk_Cyrl	30.27	47.07	0.943
isl_Latn-ace_Arab	3.66	14.50	0.959
nld_Latn-jav_Latn	18.45	43.95	0.941
sag_Latn-pol_Latn	10.74	26.82	0.912
dyu_Latn-zsm_Latn	8.78	28.78	0.994
npi_Deva-ckb_Arab	19.68	40.70	0.990
ind_Latn-luo_Latn	13.31	36.67	0.962
ory_Orya-sag_Latn	8.66	33.80	0.968
lim_Latn-dan_Latn	36.78	56.19	0.956
kat_Geor-cjk_Latn	2.46	22.61	1.020
fin_Latn-hun_Latn	28.84	47.60	0.992
som_Latn-ace_Latn	7.66	29.92	0.928
prs_Arab-sot_Latn	16.37	41.65	0.943
ell_Grek-uig_Arab	12.00	26.71	0.997
yor_Latn-ltg_Latn	13.38	30.51	0.950
sun_Latn-tir_Ethi	13.52	21.23	1.008
ukr_Cyrl-ajp_Arab	24.32	40.12	0.961
zho_Hans-tel_Telu	26.16	41.63	1.009
srd_Latn-kat_Geor	29.85	45.20	0.952
nld_Latn-khk_Cyrl	20.82	38.38	0.973
acm_Arab-bul_Cyrl	34.61	53.23	1.011
ajp_Arab-hat_Latn	23.30	46.30	1.014
ita_Latn-asm_Beng	18.68	32.56	1.012
sot_Latn-bem_Latn	10.91	35.04	0.916
bjn_Latn-azj_Latn	19.02	37.56	0.917
kac_Latn-sot_Latn	9.70	32.57	0.981
ajp_Arab-lus_Latn	10.90	35.61	1.048
arz_Arab-lmo_Latn	6.46	29.32	0.925
hin_Deva-war_Latn	22.98	48.38	0.957
acm_Arab-wol_Latn	6.90	27.07	1.143
kir_Cyrl-uzn_Latn	20.70	40.54	0.919
hrv_Latn-als_Latn	30.40	50.77	0.940
tgk_Cyrl-fur_Latn	22.77	42.49	0.941
guj_Gujr-asm_Beng	21.63	35.22	0.991
ace_Arab-mya_Mymr	7.31	19.30	0.920
ron_Latn-xho_Latn	19.36	43.59	1.057
fra_Latn-swe_Latn	37.73	56.83	1.012
swh_Latn-ars_Arab	22.15	36.50	0.886
ory_Orya-por_Latn	33.60	53.62	0.982
lao_Laoo-urd_Arab	20.86	39.94	0.973
por_Latn-azj_Latn	22.99	41.81	0.936
hne_Deva-kin_Latn	21.02	44.77	0.960
ltz_Latn-jpn_Jpan	17.60	23.22	0.949
npi_Deva-yor_Latn	9.70	24.25	1.080
mai_Deva-eng_Latn	43.26	65.99	1.111
ars_Arab-tha_Thai	31.70	38.20	0.925
pap_Latn-ukr_Cyrl	32.15	49.90	0.981
isl_Latn-nno_Latn	20.64	41.68	0.942
snd_Arab-kin_Latn	20.09	43.89	0.970
ast_Latn-lmo_Latn	8.36	31.37	0.865
pap_Latn-deu_Latn	36.05	55.42	0.970
kin_Latn-taq_Tfng	4.55	15.63	0.860
bos_Latn-kas_Arab	13.98	28.91	0.943
hau_Latn-tso_Latn	19.72	43.44	1.010
ban_Latn-uig_Arab	22.52	37.42	1.001
umb_Latn-cjk_Latn	2.59	20.39	0.884
hat_Latn-ita_Latn	29.13	49.98	0.921
dzo_Tibt-acm_Arab	6.96	21.56	1.304
ben_Beng-kbp_Latn	8.28	25.59	1.019
kon_Latn-min_Latn	13.24	35.40	0.923
lij_Latn-tgl_Latn	30.74	55.10	0.978
gaz_Latn-tso_Latn	15.93	39.73	1.010
nso_Latn-bem_Latn	10.87	34.57	0.880
oci_Latn-zho_Hans	28.07	23.72	0.977
ceb_Latn-kas_Arab	14.18	28.46	0.959
pes_Arab-kon_Latn	16.48	42.20	0.949
kir_Cyrl-dik_Latn	3.30	19.69	1.345
zsm_Latn-kas_Arab	14.54	29.24	0.966
aka_Latn-amh_Ethi	16.08	23.00	0.999
nob_Latn-ibo_Latn	16.69	37.95	0.917
pag_Latn-ilo_Latn	18.61	42.76	0.859
amh_Ethi-szl_Latn	20.55	37.17	0.946
knc_Arab-npi_Deva	1.30	8.05	1.583
nob_Latn-bjn_Latn	15.85	42.35	0.995
ita_Latn-plt_Latn	19.28	46.82	1.099
ary_Arab-luo_Latn	10.80	34.17	0.928
arz_Arab-ltz_Latn	23.14	43.89	0.998
kik_Latn-ben_Beng	15.24	27.01	0.977
heb_Hebr-shn_Mymr	12.02	30.78	0.881
hat_Latn-pap_Latn	21.53	44.39	0.900
bel_Cyrl-bem_Latn	6.77	30.98	0.916
als_Latn-lvs_Latn	28.40	49.25	0.976
guj_Gujr-plt_Latn	19.52	46.63	1.048
mlt_Latn-sun_Latn	18.43	42.45	1.044
pap_Latn-kor_Hang	23.53	31.11	1.001
kon_Latn-fao_Latn	12.96	31.32	0.917
khk_Cyrl-umb_Latn	2.60	24.09	0.823
arb_Arab-ltg_Latn	25.30	43.80	1.001
mkd_Cyrl-nya_Latn	14.46	41.51	1.001
isl_Latn-tuk_Latn	16.17	35.14	0.919
bug_Latn-ceb_Latn	18.82	42.12	0.936
kor_Hang-dan_Latn	28.25	49.55	0.962
lua_Latn-hye_Armn	16.39	30.01	0.838
tum_Latn-slv_Latn	16.72	36.13	1.017
zul_Latn-kbp_Latn	11.13	28.65	0.957
bam_Latn-bjn_Latn	10.05	32.95	1.005
slk_Latn-zho_Hans	21.40	19.83	0.804
kab_Latn-knc_Arab	5.51	9.29	1.174
tam_Taml-ltg_Latn	20.07	38.37	1.000
ast_Latn-ltz_Latn	26.38	46.35	0.958
ltz_Latn-lim_Latn	20.46	42.79	0.958
bam_Latn-ibo_Latn	11.31	29.72	0.932
kea_Latn-arb_Arab	33.44	48.15	0.955
uig_Arab-fuv_Latn	3.23	20.83	1.119
tum_Latn-fra_Latn	18.88	37.07	1.012
ory_Orya-tum_Latn	10.16	32.30	0.808
dan_Latn-cat_Latn	40.08	58.39	0.987
bug_Latn-afr_Latn	17.72	39.73	0.943
san_Deva-som_Latn	9.86	33.10	1.018
spa_Latn-pbt_Arab	15.81	32.85	1.045
yue_Hant-xho_Latn	14.32	38.18	1.032
tsn_Latn-xho_Latn	15.22	38.33	1.016
slv_Latn-kir_Cyrl	23.01	41.99	1.045
pap_Latn-sag_Latn	9.56	34.25	0.971
mni_Beng-sin_Sinh	25.12	33.94	0.945
taq_Tfng-fra_Latn	9.15	25.99	1.024
quy_Latn-kea_Latn	6.37	22.89	0.851
mai_Deva-hin_Deva	36.39	53.72	0.958
als_Latn-ory_Orya	23.63	39.37	0.972
lit_Latn-szl_Latn	24.89	41.84	0.953
wol_Latn-pol_Latn	13.55	30.35	0.960
szl_Latn-slk_Latn	34.60	52.16	0.969
eng_Latn-ita_Latn	38.07	57.42	0.935
ind_Latn-san_Deva	6.78	24.54	0.998
sat_Beng-nld_Latn	12.56	34.29	1.033
arb_Arab-sot_Latn	16.15	42.15	0.973
ssw_Latn-azj_Latn	15.08	32.87	0.921
taq_Tfng-slv_Latn	5.91	22.97	1.043
ilo_Latn-nld_Latn	24.66	46.44	1.016
shn_Mymr-lua_Latn	6.66	31.29	1.131
tgk_Cyrl-kan_Knda	27.33	43.32	0.974
tpi_Latn-guj_Gujr	21.61	36.11	0.954
tir_Ethi-twi_Latn	9.18	31.16	0.990
spa_Latn-hrv_Latn	26.63	48.06	1.030
dyu_Latn-acm_Arab	4.10	15.37	1.423
ory_Orya-ukr_Cyrl	26.70	44.96	0.964
urd_Arab-kin_Latn	18.99	42.73	0.975
gaz_Latn-ell_Grek	21.10	35.85	0.906
ace_Latn-bho_Deva	13.29	29.90	0.933
acq_Arab-asm_Beng	18.78	32.94	1.007
xho_Latn-ckb_Arab	18.42	38.14	0.975
asm_Beng-tgl_Latn	23.61	49.41	0.937
lao_Laoo-prs_Arab	22.01	42.60	0.998
pap_Latn-por_Latn	42.93	60.92	0.994
mag_Deva-fin_Latn	27.95	48.77	0.999
mkd_Cyrl-oci_Latn	30.24	50.11	0.936
twi_Latn-ast_Latn	15.76	36.57	0.994
lug_Latn-lin_Latn	13.88	38.83	0.922
tam_Taml-sot_Latn	14.58	40.25	0.956
fur_Latn-ssw_Latn	13.94	39.16	1.043
smo_Latn-lao_Laoo	20.80	37.55	0.944
ory_Orya-deu_Latn	30.23	50.53	0.951
mri_Latn-run_Latn	12.24	34.56	1.057
pol_Latn-swe_Latn	29.72	49.87	0.978
prs_Arab-ltg_Latn	21.13	39.23	0.997
yor_Latn-sot_Latn	12.92	35.94	0.896
kea_Latn-tsn_Latn	20.78	43.66	0.962
awa_Deva-swe_Latn	32.57	52.58	0.980
ary_Arab-san_Deva	5.69	23.08	0.980
kas_Deva-vie_Latn	22.47	40.58	0.982
plt_Latn-ckb_Arab	16.55	36.82	0.981
dan_Latn-dzo_Tibt	11.29	32.99	0.979
zho_Hans-mal_Mlym	26.72	41.47	1.006
hau_Latn-ell_Grek	25.13	39.99	0.941
nya_Latn-fon_Latn	5.51	20.40	0.997
kac_Latn-ltg_Latn	10.43	28.08	1.026
ory_Orya-kor_Hang	21.45	29.31	0.992
aeb_Arab-kon_Latn	15.51	42.13	1.005
kmr_Latn-ayr_Latn	6.28	29.15	1.113
sat_Beng-jav_Latn	8.76	32.66	1.034
ilo_Latn-jav_Latn	21.78	46.53	0.944
dik_Latn-bul_Cyrl	11.78	27.00	0.922
tat_Cyrl-tha_Thai	25.77	34.10	0.811
acq_Arab-plt_Latn	18.73	46.99	1.092
swe_Latn-quy_Latn	5.19	26.85	0.977
tzm_Tfng-lua_Latn	4.39	28.27	1.126
epo_Latn-kaz_Cyrl	28.64	46.96	0.968
hun_Latn-ben_Beng	26.16	40.78	1.018
ltz_Latn-bel_Cyrl	24.61	39.75	0.891
mos_Latn-ace_Latn	4.60	24.34	1.012
sag_Latn-mag_Deva	11.74	25.55	0.956
cym_Latn-lua_Latn	8.71	34.18	1.082
pap_Latn-tum_Latn	11.20	32.96	0.805
dik_Latn-wol_Latn	4.34	19.79	1.094
eng_Latn-pap_Latn	43.65	61.38	0.971
kbp_Latn-zho_Hans	11.44	12.57	0.868
pan_Guru-tpi_Latn	15.45	40.41	0.817
swe_Latn-som_Latn	14.90	39.18	0.988
prs_Arab-ita_Latn	27.54	48.91	0.926
sag_Latn-ukr_Cyrl	11.82	26.96	0.930
nso_Latn-bak_Cyrl	20.79	38.55	0.971
srd_Latn-lug_Latn	10.66	36.44	1.109
dan_Latn-isl_Latn	30.35	47.46	1.001
eus_Latn-twi_Latn	11.77	34.41	1.026
kor_Hang-guj_Gujr	23.84	40.17	0.975
sna_Latn-grn_Latn	11.35	30.09	0.998
awa_Deva-hau_Latn	22.53	46.13	0.985
azb_Arab-lvs_Latn	14.94	35.39	1.010
kac_Latn-ita_Latn	14.55	34.50	0.962
heb_Hebr-fur_Latn	28.78	48.12	0.951
bel_Cyrl-bak_Cyrl	21.99	42.28	1.071
sna_Latn-zho_Hant	7.74	9.04	0.619
kab_Latn-tso_Latn	14.45	38.95	1.014
sag_Latn-deu_Latn	11.53	30.21	0.903
srp_Cyrl-mal_Mlym	30.03	44.87	0.983
slv_Latn-ind_Latn	33.34	56.94	0.976
shn_Mymr-tgk_Cyrl	18.76	36.77	1.008
bug_Latn-ces_Latn	17.39	34.24	0.927
azj_Latn-slk_Latn	23.09	42.65	0.978
gaz_Latn-knc_Arab	5.19	7.86	0.905
fra_Latn-sna_Latn	16.44	40.73	0.981
nus_Latn-bul_Cyrl	14.34	32.38	0.987
bos_Latn-fao_Latn	23.84	43.29	0.977
hye_Armn-fra_Latn	38.91	57.67	1.025
pan_Guru-dyu_Latn	2.23	18.87	1.082
epo_Latn-bod_Tibt	6.92	28.09	0.992
bos_Latn-min_Latn	21.61	46.20	0.959
nus_Latn-wol_Latn	4.76	22.45	1.158
amh_Ethi-nus_Latn	12.45	26.05	1.050
cjk_Latn-vie_Latn	11.24	26.70	0.913
hat_Latn-sot_Latn	16.49	40.97	0.916
kea_Latn-ars_Arab	20.92	33.70	0.974
hye_Armn-slv_Latn	29.71	49.69	0.980
est_Latn-tuk_Latn	18.32	38.03	0.924
ben_Beng-umb_Latn	3.19	25.26	0.845
kon_Latn-kas_Arab	8.59	20.29	0.838
vie_Latn-mya_Mymr	12.33	26.34	0.830
sna_Latn-azb_Arab	3.15	17.58	0.999
tsn_Latn-ydd_Hebr	7.60	26.79	1.018
yue_Hant-ydd_Hebr	13.34	31.14	0.977
ceb_Latn-min_Latn	22.50	46.48	0.991
bod_Tibt-tam_Taml	12.67	31.25	0.913
mos_Latn-tzm_Tfng	8.54	20.01	0.914
cym_Latn-tgk_Cyrl	32.00	48.42	0.962
acq_Arab-crh_Latn	19.52	40.82	1.027
zsm_Latn-min_Latn	24.48	48.67	0.953
hne_Deva-gla_Latn	22.79	45.29	0.999
khm_Khmr-run_Latn	14.57	37.47	1.053
sot_Latn-bak_Cyrl	22.41	40.59	1.006
ory_Orya-mag_Deva	28.07	47.47	0.982
zsm_Latn-fao_Latn	23.24	42.68	0.972
tzm_Tfng-tgk_Cyrl	14.18	31.96	0.962
pbt_Arab-kea_Latn	11.52	30.98	0.864
eng_Latn-ltg_Latn	35.19	52.54	0.993
khk_Cyrl-kbp_Latn	8.32	25.56	1.000
snd_Arab-gla_Latn	21.76	44.12	1.006
gla_Latn-lvs_Latn	21.20	42.35	0.970
tuk_Latn-lin_Latn	17.03	44.37	1.021
rus_Cyrl-ckb_Arab	18.38	39.24	1.020
hau_Latn-knc_Arab	5.25	7.31	0.896
tgk_Cyrl-shn_Mymr	10.95	29.65	0.880
ceb_Latn-fao_Latn	22.12	41.68	1.007
war_Latn-vie_Latn	37.94	54.95	0.978
lim_Latn-guj_Gujr	25.60	41.99	0.947
san_Deva-quy_Latn	3.48	24.72	1.104
prs_Arab-pap_Latn	25.24	47.03	0.942
zul_Latn-umb_Latn	2.77	23.30	0.765
aka_Latn-mar_Deva	15.17	31.40	0.934
swh_Latn-arb_Arab	31.30	46.21	0.931
bho_Deva-bel_Cyrl	20.62	36.09	0.897
kaz_Cyrl-run_Latn	13.87	35.78	0.979
pol_Latn-hau_Latn	18.10	42.03	1.001
aeb_Arab-ilo_Latn	18.73	45.64	1.021
lij_Latn-ssw_Latn	14.06	39.25	1.041
sag_Latn-kor_Hang	9.30	15.34	1.010
taq_Tfng-hye_Armn	8.44	21.54	0.956
ukr_Cyrl-snd_Arab	22.21	38.86	1.010
ukr_Cyrl-kik_Latn	10.37	31.56	0.931
est_Latn-nno_Latn	20.61	42.18	0.940
kir_Cyrl-pes_Arab	19.67	36.75	0.934
mya_Mymr-zho_Hans	16.58	15.73	0.826
kac_Latn-pap_Latn	14.50	34.30	0.975
srd_Latn-kam_Latn	5.29	26.28	1.199
ydd_Hebr-war_Latn	22.11	47.10	0.984
lvs_Latn-nno_Latn	19.46	41.55	0.950
tum_Latn-hye_Armn	17.43	31.08	0.893
shn_Mymr-hne_Deva	14.31	32.28	0.983
sag_Latn-por_Latn	15.46	32.81	0.951
ces_Latn-kab_Latn	12.36	31.44	1.050
crh_Latn-mkd_Cyrl	30.57	51.10	0.971
lua_Latn-slv_Latn	14.78	33.12	0.942
kat_Geor-mlt_Latn	28.64	45.96	0.991
bak_Cyrl-acm_Arab	12.79	29.91	1.335
ban_Latn-knc_Latn	4.53	22.97	0.978
crh_Latn-mos_Latn	3.86	19.53	1.007
fur_Latn-tgl_Latn	29.85	54.48	0.974
gla_Latn-ory_Orya	18.33	33.69	0.965
kat_Geor-smo_Latn	18.72	42.84	0.991
eng_Latn-sot_Latn	21.03	46.52	0.968
lua_Latn-fra_Latn	19.12	36.64	0.968
mal_Mlym-ltz_Latn	23.04	43.65	0.963
heb_Hebr-kan_Knda	30.05	46.04	0.973
ibo_Latn-ron_Latn	22.21	41.25	0.941
asm_Beng-ssw_Latn	12.35	36.76	1.030
arb_Arab-ita_Latn	29.95	51.11	0.965
glg_Latn-pbt_Arab	17.50	34.28	1.032
som_Latn-tzm_Tfng	15.15	26.26	0.971
ltg_Latn-khk_Cyrl	22.80	40.64	0.994
bho_Deva-jpn_Jpan	15.53	21.38	0.956
kir_Cyrl-sat_Beng	10.45	18.51	0.744
srd_Latn-nob_Latn	27.54	49.96	0.980
yor_Latn-pap_Latn	16.76	36.46	0.901
umb_Latn-smo_Latn	10.81	32.13	0.871
knc_Arab-aeb_Arab	2.45	12.52	0.866
pol_Latn-sna_Latn	14.14	38.23	0.959
tam_Taml-ita_Latn	25.74	46.82	0.945
lmo_Latn-khk_Cyrl	22.10	39.47	1.009
bem_Latn-srp_Cyrl	19.77	38.31	0.958
jav_Latn-pag_Latn	16.16	40.26	1.059
glg_Latn-hrv_Latn	31.93	51.95	1.009
umb_Latn-mlt_Latn	7.55	24.94	0.883
sna_Latn-aka_Latn	8.48	30.18	0.903
ell_Grek-knc_Latn	4.76	23.79	1.048
run_Latn-kea_Latn	10.70	28.97	0.832
azb_Arab-ory_Orya	14.18	28.65	1.017
yor_Latn-ita_Latn	17.21	37.10	0.911
lvs_Latn-tuk_Latn	19.17	38.73	0.933
crh_Latn-fij_Latn	17.94	43.55	1.015
tgl_Latn-lao_Laoo	25.34	41.87	0.969
urd_Arab-gla_Latn	21.52	43.90	0.993
awa_Deva-sna_Latn	15.17	39.17	0.941
sun_Latn-kmb_Latn	4.18	24.64	0.911
ron_Latn-ydd_Hebr	13.38	33.39	1.033
mal_Mlym-lmo_Latn	6.71	29.09	0.871
jav_Latn-srp_Cyrl	27.30	45.99	0.932
ell_Grek-acq_Arab	15.77	29.09	0.952
swh_Latn-tsn_Latn	21.06	44.44	0.944
min_Latn-sun_Latn	17.74	42.46	1.053
bem_Latn-pag_Latn	13.85	38.81	1.127
tam_Taml-pap_Latn	25.18	45.98	0.963
pap_Latn-mag_Deva	28.39	48.10	0.991
sag_Latn-tum_Latn	6.83	26.48	0.756
twi_Latn-epo_Latn	18.14	38.70	0.990
npi_Deva-mri_Latn	16.47	40.54	0.944
ibo_Latn-kmr_Latn	12.63	31.21	0.938
srp_Cyrl-tel_Telu	30.96	46.50	0.977
dan_Latn-bjn_Arab	4.42	14.98	0.948
ban_Latn-acq_Arab	7.56	14.25	1.046
lit_Latn-nus_Latn	12.13	26.12	1.077
cym_Latn-hne_Deva	25.29	46.23	0.958
pag_Latn-kon_Latn	12.70	37.94	0.912
fra_Latn-hau_Latn	20.50	44.13	1.000
pes_Arab-ilo_Latn	20.78	47.23	1.007
tur_Latn-bho_Deva	17.79	36.68	0.945
tzm_Tfng-hne_Deva	10.35	27.61	0.977
bho_Deva-lim_Latn	14.79	36.91	0.962
mag_Deva-swh_Latn	30.29	53.77	0.963
guj_Gujr-crh_Latn	21.37	41.25	0.993
arb_Arab-pap_Latn	30.07	50.57	0.986
zho_Hant-ewe_Latn	8.69	30.84	1.154
kin_Latn-srd_Latn	21.66	42.71	0.983
luo_Latn-lit_Latn	13.78	32.59	0.925
ita_Latn-crh_Latn	20.98	41.62	1.022
kab_Latn-ell_Grek	19.38	35.19	0.928
tpi_Latn-dan_Latn	23.65	43.88	0.971
hat_Latn-ltg_Latn	20.99	39.22	0.961
tgk_Cyrl-awa_Deva	14.83	32.88	1.046
smo_Latn-sun_Latn	14.64	36.67	1.005
deu_Latn-snd_Arab	22.86	39.74	1.026
deu_Latn-kik_Latn	12.01	33.79	0.934
twi_Latn-kac_Latn	10.88	33.56	0.976
tzm_Tfng-fin_Latn	10.76	32.21	1.041
lmo_Latn-nld_Latn	27.30	48.60	1.009
fin_Latn-kbp_Latn	10.18	28.04	1.021
aka_Latn-sot_Latn	13.93	36.58	0.915
bos_Latn-bug_Latn	7.09	30.83	1.004
wol_Latn-kor_Hang	12.17	18.03	1.010
ars_Arab-arz_Arab	36.62	51.03	0.996
cym_Latn-fin_Latn	30.93	51.27	0.999
tir_Ethi-prs_Arab	15.87	35.64	0.961
hrv_Latn-isl_Latn	25.34	42.94	0.973
war_Latn-ell_Grek	31.95	46.05	0.951
ltg_Latn-nld_Latn	26.98	48.64	0.994
dyu_Latn-mai_Deva	5.37	17.10	0.984
kaz_Cyrl-lmo_Latn	6.57	28.62	0.870
khm_Khmr-lmo_Latn	6.74	28.21	0.921
lao_Laoo-twi_Latn	11.72	33.05	0.990
kan_Knda-tzm_Tfng	15.86	27.09	1.002
knc_Latn-gla_Latn	9.59	31.64	1.118
