direction	spBLEU	chrF++	len_ratio
pes_Arab-oci_Latn	26.94	47.11	0.945
yor_Latn-hau_Latn	16.29	38.92	1.003
yor_Latn-eus_Latn	13.82	34.84	1.020
snd_Arab-tir_Ethi	13.89	22.81	1.040
jpn_Jpan-afr_Latn	22.31	45.72	0.950
lin_Latn-fin_Latn	18.62	39.55	0.945
arb_Arab-eus_Latn	22.68	45.04	0.999
tam_Taml-eus_Latn	20.08	42.37	0.999
hau_Latn-lvs_Latn	20.02	40.22	0.992
fuv_Latn-swh_Latn	10.62	31.70	0.970
urd_Arab-tir_Ethi	13.44	22.11	1.011
kik_Latn-hin_Deva	16.59	31.83	0.899
isl_Latn-jpn_Jpan	12.74	19.93	1.000
ace_Latn-ewe_Latn	11.58	31.71	0.985
afr_Latn-por_Latn	45.12	62.29	0.989
wol_Latn-sin_Sinh	17.13	26.21	0.896
tat_Cyrl-pes_Arab	24.52	41.15	0.944
twi_Latn-yor_Latn	6.46	21.44	1.158
eus_Latn-ace_Latn	7.98	31.67	0.911
bul_Cyrl-ita_Latn	31.02	52.09	0.946
kik_Latn-eng_Latn	20.57	45.39	1.309
isl_Latn-bel_Cyrl	21.24	36.57	0.897
afr_Latn-kor_Hang	23.82	32.28	0.995
mar_Deva-tir_Ethi	14.69	23.03	1.002
fon_Latn-tam_Taml	11.04	27.95	0.909
sin_Sinh-kik_Latn	9.46	30.71	1.010
sin_Sinh-snd_Arab	20.75	37.16	1.023
tir_Ethi-ace_Latn	5.19	25.63	1.044
hau_Latn-cjk_Latn	3.29	22.92	0.958
tel_Telu-tam_Taml	31.24	48.80	0.956
lvs_Latn-bel_Cyrl	24.82	40.13	0.918
kon_Latn-fra_Latn	20.71	38.65	0.965
lvs_Latn-jpn_Jpan	14.62	21.62	0.965
cjk_Latn-lvs_Latn	6.70	24.51	1.069
tsn_Latn-ayr_Latn	5.03	27.58	1.164
yue_Hant-ayr_Latn	6.18	28.58	1.038
ewe_Latn-afr_Latn	14.40	35.49	0.913
lin_Latn-swh_Latn	19.93	42.96	0.908
eng_Latn-eus_Latn	30.09	51.59	0.956
oci_Latn-kon_Latn	18.89	46.05	1.052
pes_Arab-zho_Hans	21.68	19.47	0.830
rus_Cyrl-ast_Latn	23.56	47.71	1.037
fuv_Latn-fin_Latn	8.31	27.93	1.009
bul_Cyrl-mar_Deva	22.04	39.97	0.959
hin_Deva-fon_Latn	5.02	19.39	1.062
mar_Deva-ayr_Latn	6.51	30.29	1.122
wol_Latn-twi_Latn	8.98	28.97	0.990
eus_Latn-por_Latn	32.07	51.68	0.981
kin_Latn-cym_Latn	31.17	48.00	0.976
cjk_Latn-yue_Hant	4.82	7.64	0.799
urd_Arab-ayr_Latn	6.24	29.89	1.087
run_Latn-tat_Cyrl	17.75	35.65	0.973
ewe_Latn-yor_Latn	5.60	19.56	1.061
ita_Latn-fin_Latn	26.82	48.33	1.035
bel_Cyrl-pes_Arab	18.30	37.21	1.046
kea_Latn-eus_Latn	24.47	46.21	0.978
nso_Latn-pes_Arab	23.63	40.04	0.957
hau_Latn-lin_Latn	17.01	42.85	1.003
tel_Telu-wol_Latn	6.09	25.90	1.215
tel_Telu-bul_Cyrl	35.37	53.15	0.974
afr_Latn-ace_Latn	10.02	34.95	0.913
eus_Latn-kor_Hang	19.75	27.03	0.921
snd_Arab-ayr_Latn	6.02	30.04	1.161
sin_Sinh-luo_Latn	10.42	33.68	0.998
ita_Latn-swh_Latn	24.96	48.72	0.999
fon_Latn-wol_Latn	4.78	21.29	1.093
rus_Cyrl-fon_Latn	4.72	19.09	1.084
fon_Latn-bul_Cyrl	12.65	29.28	0.940
jpn_Jpan-yor_Latn	10.91	23.75	1.067
cym_Latn-fra_Latn	41.92	61.60	1.095
hin_Deva-ast_Latn	24.46	47.40	1.003
tir_Ethi-kor_Hang	15.33	22.91	0.952
tir_Ethi-por_Latn	23.97	44.27	0.945
swh_Latn-eus_Latn	21.37	43.66	0.944
wol_Latn-urd_Arab	12.63	29.28	0.979
yue_Hant-tir_Ethi	11.92	20.29	1.017
tsn_Latn-tir_Ethi	10.60	18.12	0.932
cjk_Latn-lin_Latn	7.62	30.74	0.993
por_Latn-eus_Latn	26.75	48.25	0.964
bul_Cyrl-tsn_Latn	20.44	44.60	0.981
ace_Latn-run_Latn	13.72	34.28	0.991
luo_Latn-eng_Latn	20.06	43.25	1.183
bul_Cyrl-arb_Arab	31.51	46.74	0.926
oci_Latn-isl_Latn	28.85	48.31	1.112
ayr_Latn-kea_Latn	5.51	20.46	0.753
hau_Latn-yue_Hant	11.03	13.77	0.859
luo_Latn-hin_Deva	14.91	29.29	0.785
twi_Latn-afr_Latn	18.54	40.21	0.966
eng_Latn-mal_Mlym	38.58	52.11	0.983
tir_Ethi-kea_Latn	9.19	27.88	0.840
tsn_Latn-cym_Latn	28.80	45.57	0.986
yue_Hant-cym_Latn	29.23	47.05	0.981
oci_Latn-lvs_Latn	29.96	50.66	0.990
zho_Hans-ita_Latn	25.32	46.66	0.978
ast_Latn-snd_Arab	22.19	38.67	0.988
ast_Latn-kik_Latn	11.13	31.68	0.929
eng_Latn-tel_Telu	41.04	55.50	0.977
por_Latn-hau_Latn	23.90	47.42	0.994
ayr_Latn-por_Latn	13.39	29.72	0.919
run_Latn-urd_Arab	16.53	34.11	0.935
cjk_Latn-kon_Latn	7.71	31.22	0.937
luo_Latn-afr_Latn	15.91	37.36	0.942
twi_Latn-hin_Deva	19.17	34.95	0.905
fra_Latn-tsn_Latn	20.66	44.15	0.989
hin_Deva-nso_Latn	19.97	45.08	1.016
swh_Latn-hau_Latn	21.22	44.43	0.982
hin_Deva-rus_Cyrl	30.65	48.21	0.967
kik_Latn-yor_Latn	6.38	20.24	1.104
tel_Telu-ewe_Latn	13.39	34.82	0.997
fra_Latn-arb_Arab	34.44	49.04	0.959
twi_Latn-eng_Latn	24.01	46.57	1.169
ayr_Latn-kor_Hang	8.59	13.84	0.974
oci_Latn-cjk_Latn	3.36	24.18	1.064
zho_Hans-mar_Deva	18.79	36.46	0.976
fon_Latn-ewe_Latn	8.00	26.99	0.950
vie_Latn-fuv_Latn	3.99	21.68	1.128
kea_Latn-hau_Latn	22.84	45.92	1.003
pes_Arab-vie_Latn	35.01	53.45	0.993
wol_Latn-tat_Cyrl	13.94	30.13	0.984
ace_Latn-tam_Taml	20.88	38.25	0.984
run_Latn-twi_Latn	10.93	33.00	0.990
arb_Arab-mal_Mlym	29.30	44.66	0.989
tam_Taml-mal_Mlym	30.06	44.71	0.962
yor_Latn-mal_Mlym	18.71	33.32	0.920
ita_Latn-bel_Cyrl	24.35	39.66	0.935
yor_Latn-tel_Telu	18.24	33.66	0.908
mal_Mlym-snd_Arab	23.01	39.17	1.019
mal_Mlym-kik_Latn	9.78	30.62	0.958
hau_Latn-kon_Latn	15.14	41.38	0.979
ita_Latn-jpn_Jpan	15.83	23.69	0.992
eus_Latn-kea_Latn	16.04	37.41	0.918
bel_Cyrl-kin_Latn	14.14	39.28	1.061
arb_Arab-tel_Telu	30.27	46.11	0.963
nso_Latn-kin_Latn	17.36	41.43	1.051
kin_Latn-tir_Ethi	12.34	20.49	0.973
pes_Arab-tso_Latn	18.70	44.56	1.054
kor_Hang-fra_Latn	33.11	51.81	1.000
tam_Taml-tel_Telu	31.31	46.60	0.964
fuv_Latn-cym_Latn	12.90	30.00	1.072
kik_Latn-kon_Latn	10.65	33.40	0.934
run_Latn-arb_Arab	21.83	37.27	0.923
cjk_Latn-yor_Latn	2.82	15.19	1.131
zho_Hans-sin_Sinh	27.41	35.92	0.942
fra_Latn-urd_Arab	24.60	42.88	0.968
swh_Latn-kea_Latn	12.67	32.10	0.854
rus_Cyrl-tso_Latn	17.73	43.92	1.071
ewe_Latn-yue_Hant	7.08	9.79	0.752
run_Latn-tsn_Latn	17.79	40.91	0.954
por_Latn-kea_Latn	21.77	43.29	0.909
rus_Cyrl-vie_Latn	33.77	52.74	1.008
lvs_Latn-tir_Ethi	13.03	21.39	1.010
vie_Latn-run_Latn	16.32	38.71	1.041
hin_Deva-oci_Latn	27.09	47.22	0.935
cym_Latn-pes_Arab	30.59	47.16	0.979
twi_Latn-cjk_Latn	3.05	22.24	0.970
ayr_Latn-eus_Latn	9.18	27.80	0.940
jpn_Jpan-lin_Latn	14.82	42.26	1.031
tir_Ethi-hau_Latn	16.17	39.56	0.995
mar_Deva-jpn_Jpan	15.86	23.04	0.948
hau_Latn-yor_Latn	8.16	22.91	1.130
afr_Latn-tel_Telu	34.13	49.18	0.967
oci_Latn-eng_Latn	38.91	69.15	1.506
eus_Latn-hau_Latn	20.23	44.10	0.993
bel_Cyrl-fra_Latn	27.08	49.06	1.069
bul_Cyrl-tat_Cyrl	28.33	45.85	0.993
nso_Latn-fra_Latn	33.12	50.61	1.008
fra_Latn-twi_Latn	12.45	35.15	1.012
luo_Latn-isl_Latn	15.75	32.61	0.963
kor_Hang-kin_Latn	17.16	41.16	1.029
fin_Latn-luo_Latn	11.14	34.93	1.004
mar_Deva-bel_Cyrl	21.66	37.12	0.884
isl_Latn-tir_Ethi	12.61	20.71	0.986
oci_Latn-hin_Deva	32.60	50.60	0.994
afr_Latn-mal_Mlym	33.64	47.75	0.982
ewe_Latn-lin_Latn	12.66	38.09	0.952
snd_Arab-bel_Cyrl	21.55	36.95	0.902
urd_Arab-jpn_Jpan	15.17	21.21	0.959
jpn_Jpan-yue_Hant	13.16	13.77	0.802
urd_Arab-bel_Cyrl	21.38	36.93	0.898
lin_Latn-cym_Latn	26.25	43.40	0.943
twi_Latn-lvs_Latn	15.67	34.93	0.976
snd_Arab-jpn_Jpan	15.16	21.86	0.980
kik_Latn-yue_Hant	8.90	10.41	0.851
yor_Latn-ace_Latn	6.50	27.77	0.951
isl_Latn-cym_Latn	33.35	50.39	0.984
twi_Latn-isl_Latn	17.15	34.08	0.992
ace_Latn-fuv_Latn	3.66	20.20	1.105
arb_Arab-ace_Latn	7.89	32.73	0.935
tam_Taml-ace_Latn	7.15	31.23	0.929
oci_Latn-afr_Latn	37.33	59.26	1.018
vie_Latn-tam_Taml	27.93	46.44	0.976
fra_Latn-tat_Cyrl	27.47	44.85	0.995
mar_Deva-fin_Latn	24.55	45.75	1.004
bul_Cyrl-twi_Latn	11.54	34.62	1.010
ewe_Latn-kon_Latn	11.18	36.91	0.920
kor_Hang-pes_Arab	23.01	40.16	0.990
snd_Arab-fin_Latn	24.36	46.19	1.034
kea_Latn-por_Latn	44.59	61.96	0.990
lin_Latn-tir_Ethi	10.67	18.22	0.900
hin_Deva-zho_Hans	21.47	19.01	0.814
pes_Arab-fon_Latn	4.87	19.29	1.058
luo_Latn-lvs_Latn	13.74	32.91	0.973
ita_Latn-ayr_Latn	6.85	30.74	1.128
urd_Arab-fin_Latn	25.02	45.91	0.991
kea_Latn-kor_Hang	21.29	29.11	1.000
swh_Latn-por_Latn	36.06	54.40	0.976
tir_Ethi-eus_Latn	15.82	37.42	0.996
kik_Latn-lin_Latn	12.74	36.93	1.000
snd_Arab-swh_Latn	27.86	51.81	0.969
ayr_Latn-hau_Latn	9.73	28.98	0.982
tso_Latn-luo_Latn	11.73	34.79	0.967
urd_Arab-swh_Latn	25.87	49.89	0.955
fuv_Latn-tir_Ethi	6.56	13.65	1.090
bul_Cyrl-urd_Arab	23.73	42.29	0.959
swh_Latn-kor_Hang	17.48	27.32	1.004
luo_Latn-cjk_Latn	2.74	21.02	0.876
cym_Latn-kin_Latn	24.95	47.70	0.993
wol_Latn-tsn_Latn	13.92	35.92	0.957
eng_Latn-ace_Latn	11.58	36.94	0.890
por_Latn-kor_Hang	23.63	31.96	0.981
wol_Latn-arb_Arab	17.00	31.68	0.940
lvs_Latn-cym_Latn	36.00	53.03	1.000
mar_Deva-swh_Latn	25.79	49.74	0.948
jpn_Jpan-kon_Latn	12.88	39.27	0.960
tel_Telu-por_Latn	35.28	54.67	0.964
lvs_Latn-ast_Latn	22.98	46.61	1.032
fuv_Latn-rus_Cyrl	10.54	26.96	1.038
yue_Hant-oci_Latn	20.61	41.29	0.920
tsn_Latn-oci_Latn	20.58	39.64	0.914
eus_Latn-bul_Cyrl	31.94	49.88	0.967
eus_Latn-wol_Latn	6.71	26.61	1.169
fuv_Latn-nso_Latn	9.83	31.87	1.048
tel_Telu-kor_Hang	21.32	29.43	0.977
ayr_Latn-ewe_Latn	7.34	25.35	0.905
cjk_Latn-kin_Latn	6.18	25.88	1.052
kik_Latn-fra_Latn	10.89	25.96	1.039
rus_Cyrl-jpn_Jpan	16.02	22.33	0.955
sin_Sinh-twi_Latn	11.12	33.59	1.005
kin_Latn-zho_Hans	17.98	16.89	0.811
rus_Cyrl-bel_Cyrl	27.17	42.01	0.926
mar_Deva-vie_Latn	33.50	52.12	0.972
tso_Latn-tsn_Latn	18.94	41.75	0.903
nso_Latn-kon_Latn	15.30	42.09	0.985
bel_Cyrl-kon_Latn	12.37	39.87	1.032
hau_Latn-kin_Latn	17.36	40.62	1.025
snd_Arab-tso_Latn	17.67	44.01	1.119
tso_Latn-arb_Arab	21.80	37.12	0.888
kor_Hang-yor_Latn	9.76	24.35	1.122
tat_Cyrl-isl_Latn	23.08	40.82	0.998
urd_Arab-tso_Latn	18.50	44.13	1.054
tir_Ethi-wol_Latn	5.68	24.75	1.140
tir_Ethi-bul_Cyrl	23.98	42.89	0.952
fon_Latn-kor_Hang	8.64	14.21	0.955
urd_Arab-vie_Latn	32.69	51.48	0.982
lin_Latn-nso_Latn	16.96	40.42	0.959
kon_Latn-hin_Deva	14.97	30.21	0.806
afr_Latn-tam_Taml	31.76	49.89	0.965
sin_Sinh-urd_Arab	21.53	40.07	0.948
mar_Deva-tso_Latn	18.05	43.97	1.061
wol_Latn-luo_Latn	10.09	31.21	0.970
lin_Latn-rus_Cyrl	22.26	38.95	0.945
isl_Latn-ast_Latn	22.53	44.99	0.991
fon_Latn-por_Latn	12.57	30.34	0.936
kon_Latn-eng_Latn	19.70	42.68	1.152
snd_Arab-vie_Latn	33.18	51.65	0.998
hau_Latn-pes_Arab	21.78	38.76	0.963
nso_Latn-lin_Latn	17.18	43.67	1.021
yor_Latn-fuv_Latn	3.82	20.27	1.068
bel_Cyrl-lin_Latn	12.93	41.74	1.070
ewe_Latn-fra_Latn	18.99	36.56	0.974
tam_Taml-fuv_Latn	3.74	21.57	1.108
isl_Latn-rus_Cyrl	28.48	45.45	0.968
lin_Latn-ast_Latn	18.17	39.40	0.990
run_Latn-luo_Latn	11.18	34.39	0.956
arb_Arab-fuv_Latn	3.62	21.99	1.110
pes_Arab-ayr_Latn	6.49	29.99	1.088
ayr_Latn-wol_Latn	4.02	19.27	1.120
ita_Latn-fon_Latn	5.16	20.26	1.108
isl_Latn-nso_Latn	17.27	41.70	1.012
rus_Cyrl-swh_Latn	25.20	49.14	0.968
ayr_Latn-bul_Cyrl	12.81	28.50	0.922
yue_Hant-zho_Hans	27.36	22.43	0.831
tsn_Latn-zho_Hans	15.79	15.32	0.786
eus_Latn-ewe_Latn	13.02	34.89	0.995
fon_Latn-kea_Latn	5.31	21.27	0.801
tat_Cyrl-lvs_Latn	24.46	45.32	0.958
vie_Latn-mal_Mlym	28.97	43.46	0.994
ast_Latn-sin_Sinh	30.04	38.63	0.906
kin_Latn-oci_Latn	21.63	41.24	0.922
kon_Latn-afr_Latn	16.16	37.64	0.943
vie_Latn-tel_Telu	29.01	44.72	0.985
bel_Cyrl-yue_Hant	10.23	12.68	0.865
nso_Latn-yue_Hant	10.56	13.46	0.829
fin_Latn-tsn_Latn	19.26	43.22	0.997
tel_Telu-kea_Latn	13.90	34.51	0.897
afr_Latn-run_Latn	17.79	40.78	1.047
mal_Mlym-sin_Sinh	30.90	39.39	0.902
cjk_Latn-pes_Arab	8.41	23.03	0.976
fin_Latn-arb_Arab	28.87	44.50	0.951
sin_Sinh-tat_Cyrl	24.03	41.92	0.984
lvs_Latn-nso_Latn	17.64	43.38	1.037
tat_Cyrl-cjk_Latn	2.70	22.44	0.946
cym_Latn-yor_Latn	10.48	25.16	1.092
tir_Ethi-ewe_Latn	10.78	31.75	0.958
jpn_Jpan-fra_Latn	31.35	51.25	1.010
eng_Latn-fuv_Latn	5.53	23.81	1.056
fuv_Latn-ast_Latn	8.58	27.55	1.068
lvs_Latn-rus_Cyrl	33.62	50.61	0.986
rus_Cyrl-fin_Latn	27.61	48.47	0.999
mal_Mlym-mar_Deva	23.34	40.88	0.936
urd_Arab-fon_Latn	4.54	18.69	1.088
eng_Latn-run_Latn	18.54	42.43	1.083
pes_Arab-fin_Latn	26.75	47.49	0.984
isl_Latn-oci_Latn	24.27	44.02	0.915
fon_Latn-hau_Latn	9.13	30.38	0.995
snd_Arab-fon_Latn	4.27	18.47	1.174
fuv_Latn-zho_Hans	10.05	10.83	0.923
kea_Latn-ewe_Latn	13.45	34.63	1.008
ewe_Latn-kin_Latn	11.68	33.38	0.974
mar_Deva-fon_Latn	5.09	19.75	1.033
kor_Hang-lin_Latn	15.75	42.95	1.011
kin_Latn-rus_Cyrl	25.03	42.08	0.963
zho_Hans-snd_Arab	17.73	35.44	1.092
zho_Hans-kik_Latn	5.55	24.89	1.128
afr_Latn-fuv_Latn	4.82	22.89	1.067
kin_Latn-nso_Latn	19.82	43.67	0.991
ast_Latn-ita_Latn	30.52	50.94	0.912
fin_Latn-twi_Latn	11.57	34.49	1.011
fra_Latn-luo_Latn	12.87	36.84	0.985
kon_Latn-isl_Latn	15.32	32.40	0.975
jpn_Jpan-kin_Latn	16.55	40.13	1.010
mal_Mlym-ita_Latn	27.28	48.36	0.932
por_Latn-ewe_Latn	14.97	36.76	0.995
cym_Latn-kon_Latn	18.10	44.12	1.011
hin_Deva-tir_Ethi	15.25	23.58	1.004
kor_Hang-yue_Hant	12.44	14.52	0.834
tat_Cyrl-eng_Latn	29.87	54.96	1.144
yor_Latn-run_Latn	12.45	33.33	0.989
rus_Cyrl-ayr_Latn	6.43	30.06	1.105
lvs_Latn-oci_Latn	26.51	46.95	0.943
lin_Latn-zho_Hans	16.75	15.79	0.816
tel_Telu-hau_Latn	21.62	45.54	1.038
tam_Taml-run_Latn	14.70	37.75	1.054
arb_Arab-run_Latn	16.36	39.49	1.036
yue_Hant-ast_Latn	19.26	42.43	0.970
tsn_Latn-ast_Latn	18.66	40.28	1.004
tat_Cyrl-hin_Deva	23.90	41.96	0.892
tso_Latn-tat_Cyrl	18.48	35.84	0.947
fin_Latn-urd_Arab	22.22	40.64	0.968
ast_Latn-mar_Deva	22.91	40.79	0.954
pes_Arab-swh_Latn	26.98	50.82	0.966
swh_Latn-ewe_Latn	14.50	36.03	0.995
kik_Latn-pes_Arab	16.29	32.59	0.975
jpn_Jpan-pes_Arab	20.90	38.43	0.962
tsn_Latn-rus_Cyrl	22.32	39.32	0.954
yue_Hant-rus_Cyrl	25.46	43.47	0.953
kea_Latn-bul_Cyrl	38.41	55.81	0.997
tsn_Latn-nso_Latn	18.06	41.79	0.992
yue_Hant-nso_Latn	16.22	40.75	0.988
kea_Latn-wol_Latn	7.30	27.31	1.201
fuv_Latn-oci_Latn	10.69	27.63	0.985
tel_Telu-eus_Latn	22.08	44.12	0.998
isl_Latn-zho_Hans	16.99	16.29	0.741
cym_Latn-lin_Latn	19.97	46.77	1.036
tat_Cyrl-afr_Latn	24.49	47.44	0.958
eng_Latn-tam_Taml	36.83	54.20	0.973
cjk_Latn-fra_Latn	10.66	27.38	1.010
kik_Latn-kin_Latn	11.40	32.41	1.039
kon_Latn-lvs_Latn	13.50	32.79	0.958
hin_Deva-cym_Latn	38.01	54.99	0.972
tso_Latn-twi_Latn	11.89	34.14	0.956
por_Latn-wol_Latn	7.90	28.33	1.160
sin_Sinh-arb_Arab	25.31	40.94	0.907
por_Latn-bul_Cyrl	42.79	59.42	0.995
ita_Latn-tso_Latn	18.33	44.56	1.083
vie_Latn-ace_Latn	9.34	33.19	0.940
pes_Arab-jpn_Jpan	15.12	22.06	0.945
cym_Latn-yue_Hant	14.09	15.86	0.859
arb_Arab-tam_Taml	28.81	47.57	0.973
kin_Latn-ast_Latn	19.88	41.80	1.002
pes_Arab-bel_Cyrl	22.86	38.24	0.904
sin_Sinh-tsn_Latn	18.40	42.18	0.981
yor_Latn-tam_Taml	18.13	36.36	0.918
hau_Latn-fra_Latn	30.74	48.99	1.017
ace_Latn-mal_Mlym	22.05	35.72	0.980
fon_Latn-eus_Latn	8.98	28.44	0.967
